ID,Start,Completion,Email,Name,First Name,Last Name,RPE,Duration,Sleep,Fatigue,Stress,Soreness,Mood,Diet,Injuries,Full Name,Sport,Year,,,
,,04/02/22,,,mm,26,9,135,6,1,0,1,2,4,,mm 26,Table Tennis,Freshman,,,
,,04/02/22,,,n,27,7.5,30,4,4,5,1,4,3,,n 27,Swimming,Junior,,,
,,04/02/22,,,nn,28,6,30,7,1,0,1,1,2,,nn 28,Cross Country,Sophmore,,,
,,04/02/22,,,o,29,17,60,8,2,0,4,4,1,,o 29,Volleyball,Freshman,,,
,,04/02/22,,,oo,30,8,30,4,3,1,4,4,2,,oo 30,Track & Field,Sophmore,,,
,,04/02/22,,,p,31,17,45,6,2,0,1,1,4,,p 31,Volleyball,Senior,,,
,,04/02/22,,,pp,32,7,120,5,0,3,4,1,1,,pp 32,Table Tennis,Freshman,,,
,,04/02/22,,,q,33,7,60,8,1,0,0,5,3,,q 33,Rugby,Junior,,,
,,04/02/22,,,qq,34,17,165,8,1,5,1,5,5,,qq 34,Baseball,Sophmore,,,
,,04/02/22,,,r,35,9,105,6,5,5,2,3,4,,r 35,Badminton,Junior,,,
,,04/02/22,,,rr,36,7,45,10,0,3,5,5,3,,rr 36,Cross Country,Freshman,,,
,,04/02/22,,,s,37,7.5,105,8,2,5,2,5,4,,s 37,Table Tennis,Junior,,,
,,04/02/22,,,ss,38,7.5,90,9,0,2,3,2,3,,ss 38,Cross Country,Junior,,,
,,04/02/22,,,t,39,14,180,9,0,3,1,1,5,,t 39,Swimming,Senior,,,
,,04/02/22,,,tt,40,12,105,4,0,2,2,5,4,,tt 40,Volleyball,Sophmore,,,
,,04/02/22,,,u,41,15,75,5,4,0,1,1,1,,u 41,Track & Field,Sophmore,,,
,,04/02/22,,,uu,42,20,120,5,3,2,2,4,3,,uu 42,Tennis,Senior,,,
,,04/02/22,,,v,43,17,105,6,5,4,0,3,1,,v 43,Basketball,Junior,,,
,,04/02/22,,,vv,44,7,120,7,4,3,3,5,4,,vv 44,Table Tennis,Senior,,,
,,04/02/22,,,w,45,11,30,4,4,5,2,2,4,,w 45,Softball,Senior,,,
,,04/02/22,,,ww,46,18,180,7,0,3,2,5,3,,ww 46,Softball,Sophmore,,,
,,04/02/22,,,x,47,7,30,10,1,1,5,2,5,,x 47,Tennis,Senior,,,
,,04/02/22,,,xx,48,11,120,3,5,4,2,2,1,,xx 48,Rugby,Sophmore,,,
,,04/02/22,,,y,49,9,165,3,1,2,1,3,5,,y 49,Rugby,Junior,,,
,,04/02/22,,,yy,50,15,30,6,2,4,1,1,4,,yy 50,Rugby,Sophmore,,,
,,04/03/22,,,a,1,12,180,6,1,3,5,1,2,,a 1,Baseball,Freshman,,,
,,04/03/22,,,aa,2,16,165,7,5,2,4,1,5,,aa 2,Table Tennis,Freshman,,,
,,04/03/22,,,b,3,19,165,7,2,4,5,5,5,,b 3,Basketball,Junior,,,
,,04/03/22,,,bb,4,14,120,3,3,2,1,4,4,,bb 4,Basketball,Freshman,,,
,,04/03/22,,,c,5,6,120,5,5,4,2,1,4,,c 5,Table Tennis,Junior,,,
,,04/03/22,,,cc,6,15,150,7,5,1,3,5,5,,cc 6,Volleyball,Senior,,,
,,04/03/22,,,d,7,14,150,9,0,2,4,5,3,,d 7,Softball,Sophmore,,,
,,04/03/22,,,dd,8,16,45,10,5,2,0,5,3,,dd 8,Badminton,Senior,,,
,,04/03/22,,,e,9,9,90,10,1,2,0,1,1,,e 9,Softball,Freshman,,,
,,04/03/22,,,ee,10,13,120,5,3,1,2,2,2,,ee 10,Softball,Freshman,,,
,,04/03/22,,,f,11,20,165,10,2,0,4,3,5,,f 11,Baseball,Sophmore,,,
,,04/03/22,,,ff,12,11,105,3,5,0,5,1,3,,ff 12,Track & Field,Senior,,,
,,04/03/22,,,g,13,6,150,10,0,3,0,2,4,,g 13,Baseball,Junior,,,
,,04/03/22,,,gg,14,7.5,60,4,1,3,1,2,1,,gg 14,Tennis,Junior,,,
,,04/03/22,,,h,15,14,75,5,4,1,4,3,3,,h 15,Basketball,Sophmore,,,
,,04/03/22,,,hh,16,8,105,3,5,0,4,1,2,,hh 16,Badminton,Freshman,,,
,,04/03/22,,,i,17,14,75,10,2,1,0,5,2,,i 17,Baseball,Sophmore,,,
,,04/03/22,,,ii,18,16,150,7,5,0,3,2,3,,ii 18,Rugby,Junior,,,
,,04/03/22,,,j,19,9,60,4,1,1,4,4,4,,j 19,Baseball,Freshman,,,
,,04/03/22,,,jj,20,20,165,5,3,4,4,1,3,,jj 20,Cross Country,Freshman,,,
,,04/03/22,,,k,21,15,120,4,0,3,1,4,2,,k 21,Baseball,Junior,,,
,,04/03/22,,,kk,22,16,60,4,1,4,0,4,4,,kk 22,Volleyball,Freshman,,,
,,04/03/22,,,l,23,7,75,10,4,5,4,4,3,,l 23,Tennis,Junior,,,
,,04/03/22,,,ll,24,18,165,8,4,1,1,3,5,,ll 24,Volleyball,Junior,,,
,,04/03/22,,,m,25,7,180,8,5,4,2,1,1,,m 25,Soccer,Freshman,,,
,,04/03/22,,,mm,26,17,30,3,0,2,3,3,4,,mm 26,Table Tennis,Freshman,,,
,,04/03/22,,,n,27,12,120,10,4,4,4,2,1,,n 27,Swimming,Junior,,,
,,04/03/22,,,nn,28,7,180,9,5,4,4,1,3,,nn 28,Cross Country,Sophmore,,,
,,04/03/22,,,o,29,16,45,7,0,4,4,2,2,,o 29,Volleyball,Freshman,,,
,,04/03/22,,,oo,30,11,30,8,2,2,0,5,3,,oo 30,Track & Field,Sophmore,,,
,,04/03/22,,,p,31,6,165,4,0,4,3,4,5,,p 31,Volleyball,Senior,,,
,,04/03/22,,,pp,32,16,180,5,4,3,2,4,3,,pp 32,Table Tennis,Freshman,,,
,,04/03/22,,,q,33,17,90,5,1,5,2,3,5,,q 33,Rugby,Junior,,,
,,04/03/22,,,qq,34,13,90,4,5,1,5,2,1,,qq 34,Baseball,Sophmore,,,
,,04/03/22,,,r,35,15,45,4,1,2,0,1,1,,r 35,Badminton,Junior,,,
,,04/03/22,,,rr,36,17,180,3,0,5,4,4,2,,rr 36,Cross Country,Freshman,,,
,,04/03/22,,,s,37,16,90,3,4,4,4,5,5,,s 37,Table Tennis,Junior,,,
,,04/03/22,,,ss,38,11,135,6,2,2,2,3,3,,ss 38,Cross Country,Junior,,,
,,04/03/22,,,t,39,17,105,8,1,5,5,4,1,,t 39,Swimming,Senior,,,
,,04/03/22,,,tt,40,7.5,165,7,5,5,4,3,3,,tt 40,Volleyball,Sophmore,,,
,,04/03/22,,,u,41,6,45,3,5,0,5,5,5,,u 41,Track & Field,Sophmore,,,
,,04/03/22,,,uu,42,8,45,7,3,4,2,4,4,,uu 42,Tennis,Senior,,,
,,04/03/22,,,v,43,14,135,9,3,4,3,3,3,,v 43,Basketball,Junior,,,
,,04/03/22,,,vv,44,18,180,6,1,5,5,2,4,,vv 44,Table Tennis,Senior,,,
,,04/03/22,,,w,45,17,180,5,3,5,0,5,1,,w 45,Softball,Senior,,,
,,04/03/22,,,ww,46,18,135,7,0,1,2,4,5,,ww 46,Softball,Sophmore,,,
,,04/03/22,,,x,47,9,165,10,2,2,3,1,2,,x 47,Tennis,Senior,,,
,,04/03/22,,,xx,48,11,45,6,1,4,2,3,1,,xx 48,Rugby,Sophmore,,,
,,04/03/22,,,y,49,17,75,5,2,1,1,3,5,,y 49,Rugby,Junior,,,
,,04/03/22,,,yy,50,8,30,8,5,1,1,1,3,,yy 50,Rugby,Sophmore,,,
,,04/04/22,,,a,1,8,105,5,3,0,3,3,3,,a 1,Baseball,Freshman,,,
,,04/04/22,,,aa,2,8,45,7,4,5,5,5,4,,aa 2,Table Tennis,Freshman,,,
,,04/04/22,,,b,3,8,150,5,2,3,3,2,5,,b 3,Basketball,Junior,,,
,,04/04/22,,,bb,4,10,120,8,0,3,5,2,4,,bb 4,Basketball,Freshman,,,
,,04/04/22,,,c,5,14,75,10,3,2,4,5,5,,c 5,Table Tennis,Junior,,,
,,04/04/22,,,cc,6,20,135,9,4,1,5,5,1,,cc 6,Volleyball,Senior,,,
,,04/04/22,,,d,7,9,105,6,1,3,0,4,5,,d 7,Softball,Sophmore,,,
,,04/04/22,,,dd,8,10,60,3,3,0,4,1,5,,dd 8,Badminton,Senior,,,
,,04/04/22,,,e,9,6,135,9,4,1,0,5,5,,e 9,Softball,Freshman,,,
,,04/04/22,,,ee,10,10,60,6,2,3,3,1,1,,ee 10,Softball,Freshman,,,
,,04/04/22,,,f,11,7.5,105,5,0,4,1,5,1,,f 11,Baseball,Sophmore,,,
,,04/04/22,,,ff,12,18,165,10,0,0,2,1,5,,ff 12,Track & Field,Senior,,,
,,04/04/22,,,g,13,19,120,6,2,3,5,2,5,,g 13,Baseball,Junior,,,
,,04/04/22,,,gg,14,11,90,10,3,3,3,4,5,,gg 14,Tennis,Junior,,,
,,04/04/22,,,h,15,7,45,6,5,1,5,1,3,,h 15,Basketball,Sophmore,,,
,,04/04/22,,,hh,16,15,180,10,1,0,5,5,2,,hh 16,Badminton,Freshman,,,
,,04/04/22,,,i,17,20,150,9,0,2,4,1,3,,i 17,Baseball,Sophmore,,,
,,04/04/22,,,ii,18,10,30,3,2,3,5,2,2,,ii 18,Rugby,Junior,,,
,,04/04/22,,,j,19,14,45,9,1,0,5,3,2,,j 19,Baseball,Freshman,,,
,,04/04/22,,,jj,20,12,30,8,5,3,4,4,2,,jj 20,Cross Country,Freshman,,,
,,04/04/22,,,k,21,17,165,10,2,2,4,4,5,,k 21,Baseball,Junior,,,
,,04/04/22,,,kk,22,15,90,6,1,3,2,4,4,,kk 22,Volleyball,Freshman,,,
,,04/04/22,,,l,23,8,75,3,3,2,5,2,4,,l 23,Tennis,Junior,,,
,,04/04/22,,,ll,24,6,90,7,5,5,0,3,1,,ll 24,Volleyball,Junior,,,
,,04/04/22,,,m,25,8,45,10,2,0,0,4,5,,m 25,Soccer,Freshman,,,
,,04/04/22,,,mm,26,7,135,7,4,0,1,4,4,,mm 26,Table Tennis,Freshman,,,
,,04/04/22,,,n,27,10,60,7,2,2,2,2,2,,n 27,Swimming,Junior,,,
,,04/04/22,,,nn,28,9,135,3,0,4,0,2,3,,nn 28,Cross Country,Sophmore,,,
,,04/04/22,,,o,29,6,120,7,2,3,1,4,4,,o 29,Volleyball,Freshman,,,
,,04/04/22,,,oo,30,18,30,9,4,5,4,1,3,,oo 30,Track & Field,Sophmore,,,
,,04/04/22,,,p,31,15,165,4,0,5,1,5,2,,p 31,Volleyball,Senior,,,
,,04/04/22,,,pp,32,11,135,6,5,0,4,5,1,,pp 32,Table Tennis,Freshman,,,
,,04/04/22,,,q,33,17,105,4,4,3,5,1,1,,q 33,Rugby,Junior,,,
,,04/04/22,,,qq,34,6,105,8,3,4,4,1,1,,qq 34,Baseball,Sophmore,,,
,,04/04/22,,,r,35,13,75,3,4,3,0,1,3,,r 35,Badminton,Junior,,,
,,04/04/22,,,rr,36,17,60,9,0,5,4,4,4,,rr 36,Cross Country,Freshman,,,
,,04/04/22,,,s,37,15,105,8,4,1,1,5,2,,s 37,Table Tennis,Junior,,,
,,04/04/22,,,ss,38,14,180,7,3,1,3,5,1,,ss 38,Cross Country,Junior,,,
,,04/04/22,,,t,39,18,120,10,1,2,4,3,3,,t 39,Swimming,Senior,,,
,,04/04/22,,,tt,40,7.5,75,10,2,0,2,5,3,,tt 40,Volleyball,Sophmore,,,
,,04/04/22,,,u,41,7.5,105,8,4,0,1,3,1,,u 41,Track & Field,Sophmore,,,
,,04/04/22,,,uu,42,12,120,8,0,2,0,1,2,,uu 42,Tennis,Senior,,,
,,04/04/22,,,v,43,7,30,6,0,2,5,3,2,,v 43,Basketball,Junior,,,
,,04/04/22,,,vv,44,15,105,7,1,2,4,1,1,,vv 44,Table Tennis,Senior,,,
,,04/04/22,,,w,45,13,30,3,0,0,0,2,1,,w 45,Softball,Senior,,,
,,04/04/22,,,ww,46,16,150,9,2,3,5,3,3,,ww 46,Softball,Sophmore,,,
,,04/04/22,,,x,47,15,60,6,1,3,4,2,2,,x 47,Tennis,Senior,,,
,,04/04/22,,,xx,48,9,150,10,5,4,2,1,5,,xx 48,Rugby,Sophmore,,,
,,04/04/22,,,y,49,20,30,4,5,1,2,5,2,,y 49,Rugby,Junior,,,
,,04/04/22,,,yy,50,6,30,4,3,4,3,4,1,,yy 50,Rugby,Sophmore,,,
,,04/05/22,,,a,1,7,165,9,1,3,2,2,4,,a 1,Baseball,Freshman,,,
,,04/05/22,,,aa,2,20,90,7,3,3,4,4,4,,aa 2,Table Tennis,Freshman,,,
,,04/05/22,,,b,3,12,45,8,5,1,1,1,3,,b 3,Basketball,Junior,,,
,,04/05/22,,,bb,4,19,150,9,5,2,5,1,1,,bb 4,Basketball,Freshman,,,
,,04/05/22,,,c,5,9,90,7,5,5,2,5,1,,c 5,Table Tennis,Junior,,,
,,04/05/22,,,cc,6,9,90,8,2,2,4,2,1,,cc 6,Volleyball,Senior,,,
,,04/05/22,,,d,7,11,135,9,3,5,5,2,5,,d 7,Softball,Sophmore,,,
,,04/05/22,,,dd,8,17,45,3,1,1,1,1,3,,dd 8,Badminton,Senior,,,
,,04/05/22,,,e,9,18,180,6,2,3,3,1,4,,e 9,Softball,Freshman,,,
,,04/05/22,,,ee,10,20,105,10,5,1,0,3,2,,ee 10,Softball,Freshman,,,
,,04/05/22,,,f,11,13,165,10,5,5,0,2,2,,f 11,Baseball,Sophmore,,,
,,04/05/22,,,ff,12,18,180,3,1,4,3,1,3,,ff 12,Track & Field,Senior,,,
,,04/05/22,,,g,13,10,45,8,2,2,3,5,2,,g 13,Baseball,Junior,,,
,,04/05/22,,,gg,14,16,180,10,0,4,1,3,5,,gg 14,Tennis,Junior,,,
,,04/05/22,,,h,15,10,165,3,0,2,3,3,1,,h 15,Basketball,Sophmore,,,
,,04/05/22,,,hh,16,20,75,7,2,3,2,3,2,,hh 16,Badminton,Freshman,,,
,,04/05/22,,,i,17,14,90,9,5,5,2,4,5,,i 17,Baseball,Sophmore,,,
,,04/05/22,,,ii,18,11,75,8,4,0,2,3,1,,ii 18,Rugby,Junior,,,
,,04/05/22,,,j,19,18,30,8,4,1,0,4,4,,j 19,Baseball,Freshman,,,
,,04/05/22,,,jj,20,10,105,3,3,0,1,5,3,,jj 20,Cross Country,Freshman,,,
,,04/05/22,,,k,21,16,45,4,2,0,0,1,1,,k 21,Baseball,Junior,,,
,,04/05/22,,,kk,22,12,120,7,4,3,3,5,5,,kk 22,Volleyball,Freshman,,,
,,04/05/22,,,l,23,18,105,8,0,1,0,5,5,,l 23,Tennis,Junior,,,
,,04/05/22,,,ll,24,9,75,9,0,0,5,3,2,,ll 24,Volleyball,Junior,,,
,,04/05/22,,,m,25,12,45,7,4,4,2,2,2,,m 25,Soccer,Freshman,,,
,,04/05/22,,,mm,26,8,165,8,4,4,5,5,4,,mm 26,Table Tennis,Freshman,,,
,,04/05/22,,,n,27,10,120,9,1,1,0,5,2,,n 27,Swimming,Junior,,,
,,04/05/22,,,nn,28,20,180,5,4,4,5,3,1,,nn 28,Cross Country,Sophmore,,,
,,04/05/22,,,o,29,7.5,135,10,2,0,0,4,5,,o 29,Volleyball,Freshman,,,
,,04/05/22,,,oo,30,8,30,7,3,1,3,4,2,,oo 30,Track & Field,Sophmore,,,
,,04/05/22,,,p,31,11,90,10,4,4,1,3,5,,p 31,Volleyball,Senior,,,
,,04/05/22,,,pp,32,12,150,9,1,3,0,5,2,,pp 32,Table Tennis,Freshman,,,
,,04/05/22,,,q,33,6,150,10,4,1,1,2,3,,q 33,Rugby,Junior,,,
,,04/05/22,,,qq,34,11,180,4,3,5,2,5,3,,qq 34,Baseball,Sophmore,,,
,,04/05/22,,,r,35,11,135,5,3,2,4,4,3,,r 35,Badminton,Junior,,,
,,04/05/22,,,rr,36,16,105,10,2,2,2,1,2,,rr 36,Cross Country,Freshman,,,
,,04/05/22,,,s,37,17,120,10,5,1,4,1,1,,s 37,Table Tennis,Junior,,,
,,04/05/22,,,ss,38,7,60,3,1,1,4,5,2,,ss 38,Cross Country,Junior,,,
,,04/05/22,,,t,39,12,30,3,4,3,0,1,4,,t 39,Swimming,Senior,,,
,,04/05/22,,,tt,40,17,165,5,4,5,3,3,5,,tt 40,Volleyball,Sophmore,,,
,,04/05/22,,,u,41,7,150,7,5,3,4,1,4,,u 41,Track & Field,Sophmore,,,
,,04/05/22,,,uu,42,14,135,5,5,0,3,4,4,,uu 42,Tennis,Senior,,,
,,04/05/22,,,v,43,8,75,8,0,4,0,1,2,,v 43,Basketball,Junior,,,
,,04/05/22,,,vv,44,8,90,7,0,3,1,3,4,,vv 44,Table Tennis,Senior,,,
,,04/05/22,,,w,45,11,165,8,2,5,1,4,5,,w 45,Softball,Senior,,,
,,04/05/22,,,ww,46,13,165,6,1,5,2,3,3,,ww 46,Softball,Sophmore,,,
,,04/05/22,,,x,47,20,90,4,2,4,4,5,2,,x 47,Tennis,Senior,,,
,,04/05/22,,,xx,48,7,60,5,0,0,2,2,3,,xx 48,Rugby,Sophmore,,,
,,04/05/22,,,y,49,9,30,8,3,1,0,1,5,,y 49,Rugby,Junior,,,
,,04/05/22,,,yy,50,15,150,10,1,3,4,5,1,,yy 50,Rugby,Sophmore,,,
,,04/06/22,,,a,1,8,180,7,5,4,3,2,4,,a 1,Baseball,Freshman,,,
,,04/06/22,,,aa,2,18,120,3,5,0,3,3,4,,aa 2,Table Tennis,Freshman,,,
,,04/06/22,,,b,3,17,30,6,3,4,1,2,1,,b 3,Basketball,Junior,,,
,,04/06/22,,,bb,4,20,45,5,1,2,0,4,1,,bb 4,Basketball,Freshman,,,
,,04/06/22,,,c,5,16,30,7,5,1,0,3,1,,c 5,Table Tennis,Junior,,,
,,04/06/22,,,cc,6,11,90,7,5,2,2,4,5,,cc 6,Volleyball,Senior,,,
,,04/06/22,,,d,7,19,150,8,3,2,5,2,3,,d 7,Softball,Sophmore,,,
,,04/06/22,,,dd,8,7.5,105,9,2,4,4,2,5,,dd 8,Badminton,Senior,,,
,,04/06/22,,,e,9,9,180,3,2,4,3,2,2,,e 9,Softball,Freshman,,,
,,04/06/22,,,ee,10,18,105,10,5,4,1,4,2,,ee 10,Softball,Freshman,,,
,,04/06/22,,,f,11,17,30,9,3,3,0,2,5,,f 11,Baseball,Sophmore,,,
,,04/06/22,,,ff,12,6,165,10,3,2,2,2,3,,ff 12,Track & Field,Senior,,,
,,04/06/22,,,g,13,7,60,9,1,3,2,4,2,,g 13,Baseball,Junior,,,
,,04/06/22,,,gg,14,16,30,7,4,5,4,1,3,,gg 14,Tennis,Junior,,,
,,04/06/22,,,h,15,11,30,3,0,1,5,2,1,,h 15,Basketball,Sophmore,,,
,,04/06/22,,,hh,16,9,150,10,5,3,4,2,2,,hh 16,Badminton,Freshman,,,
,,04/06/22,,,i,17,7,60,7,1,0,5,3,4,,i 17,Baseball,Sophmore,,,
,,04/06/22,,,ii,18,7.5,45,10,2,4,5,2,3,,ii 18,Rugby,Junior,,,
,,04/06/22,,,j,19,12,30,8,3,5,5,2,2,,j 19,Baseball,Freshman,,,
,,04/06/22,,,jj,20,10,60,8,5,2,3,2,5,,jj 20,Cross Country,Freshman,,,
,,04/06/22,,,k,21,19,30,8,4,4,2,5,3,,k 21,Baseball,Junior,,,
,,04/06/22,,,kk,22,14,60,5,0,2,5,5,1,,kk 22,Volleyball,Freshman,,,
,,04/06/22,,,l,23,9,60,8,5,4,0,5,5,,l 23,Tennis,Junior,,,
,,04/06/22,,,ll,24,8,90,9,4,1,5,5,4,,ll 24,Volleyball,Junior,,,
,,04/06/22,,,m,25,19,165,9,2,4,2,2,3,,m 25,Soccer,Freshman,,,
,,04/06/22,,,mm,26,10,165,3,0,4,2,3,2,,mm 26,Table Tennis,Freshman,,,
,,04/06/22,,,n,27,13,150,10,4,1,2,3,5,,n 27,Swimming,Junior,,,
,,04/06/22,,,nn,28,16,165,9,5,4,2,3,4,,nn 28,Cross Country,Sophmore,,,
,,04/06/22,,,o,29,18,60,5,4,3,2,1,5,,o 29,Volleyball,Freshman,,,
,,04/06/22,,,oo,30,7,150,6,5,0,0,1,1,,oo 30,Track & Field,Sophmore,,,
